from,to,interaction_type
1,2,inhibitory
2,4,activating
3,4,activating
4,7,activating
4,9,activating
6,13,inhibitory
6,7,inhibitory
5,9,activating
8,7,activating
8,9,activating
10,9,inhibitory
9,34,activating
7,27,activating
7,35,activating
7,36,activating
7,16,activating
7,19,activating
11,27,activating
34,27,activating
32,27,activating
33,34,inhibitory
27,30,activating
30,31,activating
29,27,scaffolding
29,30,scaffolding
29,31,scaffolding
28,27,inhibitory
31,27,inhibitory
30,39,activating
39,38,inhibitory
37,38,inhibitory
38,41,activating
38,40,activating
40,41,activating
38,42,activating
41,43,inhibitory
43,45,inhibitory
45,46,activating
42,44,activating
44,47,activating
44,48,activating
44,49,activating
50,51,activating
51,46,inhibitory
46,3,inhibitory
46,53,activating
46,54,activating
46,52,inhibitory
53,3,inhibitory
54,3,inhibitory
31,56,activating
31,57,activating
31,58,activating
31,59,activating
56,57,activating
59,60,activating
59,4,inhibitory
57,61,activating
57,62,activating
57,63,activating
57,64,activating
63,27,inhibitory
64,31,inhibitory
61,66,inhibitory
66,61,activating
62,65,activating
65,67,activating
67,68,inhibitory
68,67,activating
68,66,activating
68,69,activating
12,13,activating
13,14,activating
16,17,activating
17,18,activating
19,21,activating
20,21,activating
21,22,activating
21,24,activating
22,23,activating
24,25,activating
25,26,activating
55,31,inhibitory
